actual,predicted,recommendation
0.34,0.34009999999999996,Low usage - normal
0.344,0.3440200000000005,Low usage - normal
0.344,0.34394000000000047,Low usage - normal
0.344,0.34400000000000036,Low usage - normal
0.42,0.4196199999999998,Low usage - normal
0.544,0.5430199999999997,Low usage - normal
0.528,0.5287600000000002,Low usage - normal
0.528,0.5258600000000003,Low usage - normal
0.522,0.5215799999999993,Low usage - normal
0.532,0.5300800000000002,Low usage - normal
0.514,0.5149400000000006,Low usage - normal
0.514,0.5149799999999999,Low usage - normal
0.524,0.5228800000000001,Low usage - normal
0.514,0.5139200000000003,Low usage - normal
0.51,0.5107800000000002,Low usage - normal
0.454,0.4535600000000002,Low usage - normal
0.46,0.4564400000000002,Low usage - normal
0.424,0.4230400000000001,Low usage - normal
0.434,0.4342399999999999,Low usage - normal
0.448,0.4492400000000002,Low usage - normal
0.434,0.4335599999999999,Low usage - normal
0.362,0.3608200000000002,Low usage - normal
0.326,0.3310200000000002,Low usage - normal
0.352,0.3489800000000001,Low usage - normal
0.35,0.35069999999999985,Low usage - normal
0.328,0.3279599999999998,Low usage - normal
0.352,0.3502000000000005,Low usage - normal
0.338,0.33862000000000014,Low usage - normal
0.34,0.3394600000000002,Low usage - normal
0.286,0.28622,Low usage - normal
0.272,0.27284000000000025,Low usage - normal
0.27,0.2702599999999997,Low usage - normal
0.28,0.2803000000000002,Low usage - normal
0.268,0.2683000000000002,Low usage - normal
0.27,0.26966000000000023,Low usage - normal
0.268,0.2680000000000005,Low usage - normal
0.28,0.2796400000000001,Low usage - normal
0.268,0.26814000000000016,Low usage - normal
0.27,0.2696400000000002,Low usage - normal
0.27,0.26999999999999974,Low usage - normal
0.284,0.28297999999999984,Low usage - normal
0.28,0.2799599999999999,Low usage - normal
0.258,0.2580199999999998,Low usage - normal
0.29,0.2864800000000001,Low usage - normal
0.256,0.25781999999999994,Low usage - normal
0.278,0.2768200000000002,Low usage - normal
0.27,0.26993999999999985,Low usage - normal
0.274,0.27410000000000023,Low usage - normal
0.274,0.2739800000000006,Low usage - normal
0.342,0.34303999999999973,Low usage - normal
0.384,0.3838200000000001,Low usage - normal
0.376,0.37902,Low usage - normal
0.378,0.37756000000000006,Low usage - normal
0.418,0.4171400000000001,Low usage - normal
0.448,0.44892000000000054,Low usage - normal
0.456,0.4517000000000006,Low usage - normal
0.446,0.44550000000000056,Low usage - normal
0.444,0.4442400000000002,Low usage - normal
0.444,0.44400000000000056,Low usage - normal
0.464,0.4639999999999999,Low usage - normal
0.426,0.42903999999999987,Low usage - normal
0.434,0.43164000000000013,Low usage - normal
0.446,0.4474600000000002,Low usage - normal
0.43,0.4300399999999998,Low usage - normal
0.744,0.74032,Low usage - normal
0.876,0.8780600000000008,Low usage - normal
0.864,0.8688999999999996,Low usage - normal
0.858,0.8599599999999995,Low usage - normal
0.856,0.8554599999999998,Low usage - normal
0.254,0.24310000000000007,Low usage - normal
0.276,0.2651799999999998,Low usage - normal
0.274,0.27308,Low usage - normal
0.27,0.26999999999999963,Low usage - normal
0.268,0.26794000000000046,Low usage - normal
0.272,0.27209999999999956,Low usage - normal
0.294,0.2938199999999998,Low usage - normal
0.258,0.25940000000000013,Low usage - normal
0.27,0.2692,Low usage - normal
0.284,0.28218,Low usage - normal
0.27,0.26873999999999987,Low usage - normal
0.27,0.26965999999999984,Low usage - normal
0.28,0.2803000000000003,Low usage - normal
0.268,0.2683200000000002,Low usage - normal
0.268,0.26816000000000034,Low usage - normal
0.27,0.26999999999999974,Low usage - normal
0.28,0.2794599999999998,Low usage - normal
0.27,0.27049999999999996,Low usage - normal
0.274,0.27403999999999995,Low usage - normal
0.292,0.29086,Low usage - normal
0.278,0.27803999999999995,Low usage - normal
0.278,0.27805999999999964,Low usage - normal
0.276,0.276,Low usage - normal
0.286,0.2859200000000002,Low usage - normal
0.298,0.29603999999999997,Low usage - normal
0.386,0.38736,Low usage - normal
0.394,0.39410000000000006,Low usage - normal
0.378,0.3804400000000001,Low usage - normal
0.376,0.37534,Low usage - normal
0.386,0.38594000000000006,Low usage - normal
0.384,0.38432000000000016,Low usage - normal
0.358,0.3579400000000001,Low usage - normal
0.382,0.38188,Low usage - normal
0.37,0.3703599999999998,Low usage - normal
0.394,0.39605999999999997,Low usage - normal
0.448,0.4485400000000002,Low usage - normal
0.47,0.46976,Low usage - normal
0.434,0.4337,Low usage - normal
0.454,0.4527800000000007,Low usage - normal
0.442,0.4425400000000003,Low usage - normal
0.422,0.4228399999999998,Low usage - normal
0.346,0.34928,Low usage - normal
0.352,0.35149999999999987,Low usage - normal
0.348,0.3484999999999998,Low usage - normal
0.344,0.34398000000000045,Low usage - normal
0.346,0.3459999999999998,Low usage - normal
0.278,0.2785,Low usage - normal
0.288,0.28503999999999985,Low usage - normal
0.274,0.2735199999999999,Low usage - normal
0.286,0.28620000000000007,Low usage - normal
0.264,0.2645999999999999,Low usage - normal
0.29,0.28790000000000016,Low usage - normal
0.278,0.27934000000000003,Low usage - normal
0.288,0.28659999999999963,Low usage - normal
0.284,0.2847600000000001,Low usage - normal
0.334,0.33598000000000006,Low usage - normal
0.322,0.32533999999999996,Low usage - normal
0.332,0.3309399999999997,Low usage - normal
0.338,0.33723999999999976,Low usage - normal
0.336,0.3361399999999994,Low usage - normal
0.328,0.3276799999999998,Low usage - normal
0.33,0.3297599999999992,Low usage - normal
0.332,0.3320000000000005,Low usage - normal
0.33,0.3299999999999991,Low usage - normal
0.332,0.3320000000000006,Low usage - normal
0.344,0.3437400000000002,Low usage - normal
0.334,0.3339399999999997,Low usage - normal
0.346,0.34445999999999993,Low usage - normal
0.322,0.32396000000000036,Low usage - normal
0.466,0.46396000000000037,Low usage - normal
0.542,0.53842,Low usage - normal
0.694,0.68452,Low usage - normal
1.164,1.1871800000000001,Moderate usage - monitor
2.096,2.0943600000000004,High usage - reduce load
2.154,2.143779999999999,High usage - reduce load
2.3,2.3045600000000026,High usage - reduce load
2.27,2.2781400000000005,High usage - reduce load
2.294,2.293680000000001,High usage - reduce load
2.334,2.33312,High usage - reduce load
2.414,2.4046000000000007,High usage - reduce load
2.424,2.4217399999999976,High usage - reduce load
3.462,3.5026399999999995,High usage - reduce load
3.43,3.4663799999999987,High usage - reduce load
3.492,3.4867800000000004,High usage - reduce load
4.366,4.379399999999996,High usage - reduce load
4.058,4.063879999999998,High usage - reduce load
3.722,3.7584800000000023,High usage - reduce load
3.708,3.709740000000003,High usage - reduce load
3.426,3.4371199999999997,High usage - reduce load
3.038,3.0561000000000007,High usage - reduce load
2.626,2.617760000000002,High usage - reduce load
2.35,2.3541600000000003,High usage - reduce load
2.268,2.2865800000000016,High usage - reduce load
2.26,2.2618199999999997,High usage - reduce load
2.274,2.274060000000001,High usage - reduce load
2.238,2.2396199999999995,High usage - reduce load
2.226,2.2265599999999988,High usage - reduce load
2.226,2.225660000000001,High usage - reduce load
2.236,2.2343400000000004,High usage - reduce load
2.296,2.2949600000000006,High usage - reduce load
2.714,2.714439999999998,High usage - reduce load
2.304,2.3342200000000015,High usage - reduce load
2.776,2.7572399999999995,High usage - reduce load
2.546,2.5335599999999996,High usage - reduce load
2.204,2.22808,High usage - reduce load
2.196,2.208279999999999,High usage - reduce load
